Order_ID,Company_Name,Order_Date,State,City,City_Tier,Store_Type,Product_Category,Product_Name,Quantity_Sold,Unit_Price_INR,Payment_Method,GST_Rate_Pct,Discount_Applied_Pct,Delivery_Days
IND-2024-100000,Reliance Jio Infocomm,26-Jan-24,Telangana,Hyderabad,Tier 1,Supermarket,Packaged Food,Parle-G Gold Biscuits 1kg,22,140,UPI,5,5,2
IND-2024-100001,Tata Consultancy Services,28-07-2025,Bihar,Patna,Tier 3,Quick-Commerce Hub,Household Supplies,Vim Dishwash Liquid Gel 750ml,9,,Cash / COD,18,10,3
IND-2024-100002,Mahindra & Mahindra,14-04-2024,Uttar Pradesh,Lucknow,Tier 2,Kirana Store,Dairy & Staples,Aashirvaad Shuddh Atta 10kg,20,440,UPI,0,15,1
IND-2024-100003,Flipkart India,05-01-2025,Karnataka,Bengaluru,Tier 1,Kirana Store,Dairy & Staples,Amul Pasteurized Butter 500g,3,275,Credit Card,0,10,2
IND-2024-100004,Wipro Enterprise,17-Nov-25,Karnataka,Bengaluru,Tier 1,Supermarket,Beverages,Nescafe Classic Instant Coffee 100g,6,290,Debit Card,18,10,7
IND-2024-100005,Tata Consumer Products,22-08-2024,Gujarat,Ahmedabad,Tier 2,Quick-Commerce Hub,Beverages,Nescafe Classic Instant Coffee 100g,19,290,Credit Card,18,25,4
IND-2024-100006,Bharti Airtel,09-Sep-24,Madhya Pradesh,Indore,Tier 2,Quick-Commerce Hub,Personal Care,Dettol Antiseptic Soap 125g (Pack of 4),12,210,UPI,18,0,2
IND-2024-100007,ITC Limited,02-09-2025,Uttar Pradesh,Lucknow,Tier 2,Quick-Commerce Hub,Personal Care,Dove Hair Fall Rescue Shampoo 650ml,17,495,UPI,18,20,7
IND-2024-100008,Mahindra & Mahindra,24-Apr-24,Uttar Pradesh,Lucknow,Tier 2,Supermarket,Dairy & Staples,Amul Pasteurized Butter 500g,17,275,Net Banking,0,20,5
IND-2024-100009,Bajaj Finserv B2B,14-06-2024,Madhya Pradesh,Indore,Tier 2,Hypermarket,Packaged Food,Parle-G Gold Biscuits 1kg,12,140,UPI,5,20,1
IND-2024-100010,Avenue Supermarts (DMart),11-03-2024,Delhi NCR,New Delhi,Tier 1,Quick-Commerce Hub,Beverages,Tata Tea Gold 500g,9,320,Debit Card,5,25,2
IND-2024-100011,Godrej Consumer Products,18-Nov-25,Rajasthan,Jaipur,Tier 2,Quick-Commerce Hub,Beverages,Nescafe Classic Instant Coffee 100g,3,290,,18,25,6
IND-2024-100012,Reliance Retail,02-Feb-24,Karnataka,Bengaluru,Tier 1,Supermarket,Personal Care,Dove Hair Fall Rescue Shampoo 650ml,7,495,Debit Card,18,15,7
IND-2024-100013,Reliance Jio Infocomm,,Gujarat,Ahmedabad,Tier 2,Quick-Commerce Hub,Packaged Food,Maggi 2-Min Noodles 420g,22,₹120.00,Net Banking,5,0,2
IND-2024-100014,Swiggy Instamart,04-04-2025,Uttar Pradesh,Lucknow,Tier 2,Supermarket,Beverages,Nescafe Classic Instant Coffee 100g,3,290,UPI,18,20,7
IND-2024-100015,Reliance Retail,30-08-2024,Uttar Pradesh,Lucknow,Tier 2,Quick-Commerce Hub,Personal Care,Dettol Antiseptic Soap 125g (Pack of 4),2,,Credit Card,18,15,3
IND-2024-100016,Swiggy Instamart,,Delhi NCR,New Delhi,Tier 1,Supermarket,Packaged Food,Maggi 2-Min Noodles 420g,19,120,UPI,5,20,7
IND-2024-100017,Tata Consumer Products,04-06-2025,Delhi NCR,New Delhi,Tier 1,Kirana Store,Beverages,Nescafe Classic Instant Coffee 100g,13,290,Debit Card,18,0,4
IND-2024-100018,Zepto Commerce,19-Jun-25,Tamil Nadu,Chennai,Tier 1,Supermarket,Dairy & Staples,Aashirvaad Shuddh Atta 10kg,8,440,Credit Card,0,0,1
IND-2024-100019,Zepto Commerce,12-04-2024,Bihar,Patna,Tier 3,Supermarket,Beverages,Tata Tea Gold 500g,12,320,Cash / COD,5,20,6
IND-2024-100020,Zomato Enterprise,09-Jan-24,Karnataka,Bengaluru,Tier 1,Supermarket,Packaged Food,Parle-G Gold Biscuits 1kg,24,140,Net Banking,5,25,7
